t,success,mid,pmt,pg,sub_type,hr,bank
4,4,medlife_prod,NB,RAZORPAY,,2020-02-14 10,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-14 04,NB_KOTAK
2,0,fanfight,NB,PAYTM,,2020-02-14 20,NB_KOTAK
1,1,purplle.com,NB,PAYU,,2020-02-12 06,NB_KOTAK
12,7,urbanclap,NB,PAYTM,,2020-02-12 10,NB_KOTAK
3,2,countrydelight,NB,PAYU,,2020-02-12 10,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 03,NB_KOTAK
5,4,urbanclap,NB,PAYTM,,2020-02-12 18,NB_KOTAK
4,4,pharmeasytech,NB,PAYU,,2020-02-12 14,NB_KOTAK
1,0,pharmeasytech,NB,PAYU,,2020-02-12 08,NB_KOTAK
1,0,fanfight,NB,PAYTM,,2020-02-12 10,NB_KOTAK
3,1,zivame,NB,PAYU,,2020-02-12 16,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-12 18,NB_KOTAK
3,2,medlife_prod,NB,RAZORPAY,,2020-02-12 14,NB_KOTAK
4,1,zivame,NB,PAYU,,2020-02-14 09,NB_KOTAK
1,0,countrydelight,NB,PAYU,,2020-02-14 22,NB_KOTAK
1,1,purplle.com,NB,PAYU,,2020-02-13 17,NB_KOTAK
9,6,urbanclap,NB,PAYTM,,2020-02-13 17,NB_KOTAK
2,1,urbanclap,NB,PAYTM,,2020-02-13 19,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 04,NB_KOTAK
2,2,pharmeasytech,NB,PAYTM,,2020-02-12 06,NB_KOTAK
2,1,medlife_prod,NB,RAZORPAY,,2020-02-12 07,NB_KOTAK
5,3,medlife_prod,NB,RAZORPAY,,2020-02-12 06,NB_KOTAK
5,2,medlife_prod,NB,RAZORPAY,,2020-02-12 04,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-12 17,NB_KOTAK
2,1,pharmeasytech,NB,PAYU,,2020-02-12 04,NB_KOTAK
3,1,medlife_prod,NB,RAZORPAY,,2020-02-12 15,NB_KOTAK
6,2,fanfight,NB,PAYTM,,2020-02-12 13,NB_KOTAK
8,4,fanfight,NB,PAYTM,,2020-02-12 15,NB_KOTAK
3,3,pharmeasytech,NB,PAYTM,,2020-02-13 07,NB_KOTAK
4,2,zivame,NB,PAYU,,2020-02-13 11,NB_KOTAK
1,1,medlife_prod,NB,RAZORPAY,,2020-02-13 13,NB_KOTAK
2,2,pharmeasytech,NB,PAYU,,2020-02-13 12,NB_KOTAK
4,4,zivame,NB,PAYU,,2020-02-13 18,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-13 15,NB_KOTAK
3,2,countrydelight,NB,PAYU,,2020-02-12 07,NB_KOTAK
2,2,zivame,NB,PAYU,,2020-02-12 14,NB_KOTAK
2,1,pharmeasytech,NB,PAYTM,,2020-02-12 08,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-12 15,NB_KOTAK
1,0,zivame,NB,PAYU,,2020-02-13 06,NB_KOTAK
3,3,medlife_prod,NB,RAZORPAY,,2020-02-13 10,NB_KOTAK
3,3,medlife_prod,NB,RAZORPAY,,2020-02-13 01,NB_KOTAK
2,1,countrydelight,NB,PAYU,,2020-02-13 11,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-13 14,NB_KOTAK
4,1,zivame,NB,PAYU,,2020-02-13 05,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-13 16,NB_KOTAK
1,1,fanfight,NB,PAYTM,,2020-02-12 04,NB_KOTAK
2,2,pharmeasytech,NB,PAYTM,,2020-02-12 05,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 10,NB_KOTAK
2,0,purplle.com,NB,PAYU,,2020-02-12 11,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-12 17,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-14 02,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-14 03,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-14 15,NB_KOTAK
2,2,pharmeasytech,NB,PAYU,,2020-02-13 09,NB_KOTAK
1,0,fanfight,NB,PAYTM,,2020-02-14 12,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-14 03,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-14 13,NB_KOTAK
1,0,urbanclap,NB,PAYTM,,2020-02-14 23,NB_KOTAK
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 15,NB_KOTAK
1,1,fanfight,NB,PAYTM,,2020-02-14 03,NB_KOTAK
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 06,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-14 18,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-13 06,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-13 03,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-13 13,NB_KOTAK
1,0,zivame,NB,RAZORPAY,,2020-02-13 05,NB_KOTAK
2,2,zivame,NB,RAZORPAY,,2020-02-13 13,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-13 22,NB_KOTAK
1,0,zivame,NB,PAYU,,2020-02-13 07,NB_KOTAK
2,2,fanfight,NB,PAYTM,,2020-02-12 06,NB_KOTAK
1,0,purplle.com,NB,PAYU,,2020-02-12 15,NB_KOTAK
2,2,pharmeasytech,NB,PAYU,,2020-02-13 05,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-13 23,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-13 14,NB_KOTAK
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 12,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 09,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 14,NB_KOTAK
2,2,pharmeasytech,NB,PAYTM,,2020-02-14 09,NB_KOTAK
2,0,medlife_prod,NB,RAZORPAY,,2020-02-14 00,NB_KOTAK
8,4,urbanclap,NB,PAYTM,,2020-02-14 08,NB_KOTAK
3,2,zivame,NB,PAYU,,2020-02-14 08,NB_KOTAK
15,10,urbanclap,NB,PAYTM,,2020-02-14 04,NB_KOTAK
3,2,zivame,NB,PAYU,,2020-02-14 11,NB_KOTAK
2,2,countrydelight,NB,PAYU,,2020-02-14 05,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-14 12,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-14 08,NB_KOTAK
3,0,fanfight,NB,PAYTM,,2020-02-14 10,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-14 08,NB_KOTAK
1,0,purplle.com,NB,PAYU,,2020-02-14 15,NB_KOTAK
5,5,fanfight,NB,PAYTM,,2020-02-14 15,NB_KOTAK
14,12,urbanclap,NB,PAYTM,,2020-02-14 06,NB_KOTAK
2,1,fanfight,NB,PAYTM,,2020-02-14 04,NB_KOTAK
11,8,urbanclap,NB,PAYTM,,2020-02-14 14,NB_KOTAK
8,2,fanfight,NB,PAYTM,,2020-02-14 14,NB_KOTAK
2,1,purplle.com,NB,PAYU,,2020-02-14 14,NB_KOTAK
2,2,purplle.com,NB,PAYU,,2020-02-12 08,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-12 10,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-12 16,NB_KOTAK
6,5,urbanclap,NB,PAYTM,,2020-02-12 16,NB_KOTAK
2,2,countrydelight,NB,PAYU,,2020-02-14 10,NB_KOTAK
3,0,pharmeasytech,NB,PAYU,,2020-02-14 11,NB_KOTAK
2,1,urbanclap,NB,PAYTM,,2020-02-14 21,NB_KOTAK
2,1,pharmeasytech,NB,PAYU,,2020-02-14 04,NB_KOTAK
1,0,pharmeasytech,NB,PAYTM,,2020-02-14 10,NB_KOTAK
8,5,medlife_prod,NB,RAZORPAY,,2020-02-14 07,NB_KOTAK
1,0,fanfight,NB,PAYTM,,2020-02-14 07,NB_KOTAK
4,3,pharmeasytech,NB,PAYU,,2020-02-14 09,NB_KOTAK
2,2,pharmeasytech,NB,PAYTM,,2020-02-14 06,NB_KOTAK
7,6,medlife_prod,NB,RAZORPAY,,2020-02-13 03,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-13 07,NB_KOTAK
2,1,medlife_prod,NB,RAZORPAY,,2020-02-13 09,NB_KOTAK
1,0,purplle.com,NB,PAYU,,2020-02-13 06,NB_KOTAK
5,4,pharmeasytech,NB,PAYTM,,2020-02-13 05,NB_KOTAK
10,7,urbanclap,NB,PAYTM,,2020-02-13 11,NB_KOTAK
2,2,pharmeasytech,NB,PAYU,,2020-02-13 06,NB_KOTAK
4,2,urbanclap,NB,PAYTM,,2020-02-13 12,NB_KOTAK
3,1,zivame,NB,PAYU,,2020-02-13 13,NB_KOTAK
2,2,medlife_prod,NB,RAZORPAY,,2020-02-13 11,NB_KOTAK
3,1,purplle.com,NB,PAYU,,2020-02-13 08,NB_KOTAK
5,5,medlife_prod,NB,RAZORPAY,,2020-02-13 06,NB_KOTAK
3,1,countrydelight,NB,PAYU,,2020-02-13 14,NB_KOTAK
1,0,countrydelight,NB,PAYU,,2020-02-13 16,NB_KOTAK
1,0,pharmeasytech,NB,PAYU,,2020-02-14 16,NB_KOTAK
3,2,medlife_prod,NB,RAZORPAY,,2020-02-12 09,NB_KOTAK
13,9,urbanclap,NB,PAYTM,,2020-02-12 04,NB_KOTAK
4,2,medlife_prod,NB,RAZORPAY,,2020-02-12 03,NB_KOTAK
10,8,urbanclap,NB,PAYTM,,2020-02-12 15,NB_KOTAK
1,0,urbanclap,NB,PAYTM,,2020-02-12 22,NB_KOTAK
1,0,fanfight,NB,PAYTM,,2020-02-12 16,NB_KOTAK
3,2,medlife_prod,NB,RAZORPAY,,2020-02-12 05,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 13,NB_KOTAK
2,0,fanfight,NB,PAYTM,,2020-02-12 08,NB_KOTAK
4,3,medlife_prod,NB,RAZORPAY,,2020-02-12 08,NB_KOTAK
2,2,urbanclap,NB,PAYTM,,2020-02-12 19,NB_KOTAK
1,0,medlife_prod,NB,RAZORPAY,,2020-02-12 21,NB_KOTAK
6,5,urbanclap,NB,PAYTM,,2020-02-13 06,NB_KOTAK
2,1,countrydelight,NB,PAYU,,2020-02-13 10,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-13 08,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-13 03,NB_KOTAK
2,1,pharmeasytech,NB,PAYU,,2020-02-12 09,NB_KOTAK
11,5,urbanclap,NB,PAYTM,,2020-02-12 11,NB_KOTAK
7,7,medlife_prod,NB,RAZORPAY,,2020-02-12 11,NB_KOTAK
5,2,medlife_prod,NB,RAZORPAY,,2020-02-12 01,NB_KOTAK
4,4,medlife_prod,NB,RAZORPAY,,2020-02-12 16,NB_KOTAK
2,2,pharmeasytech,NB,PAYU,,2020-02-12 05,NB_KOTAK
2,1,zivame,NB,PAYU,,2020-02-12 18,NB_KOTAK
1,1,fanfight,NB,PAYTM,,2020-02-12 14,NB_KOTAK
2,1,urbanclap,NB,PAYTM,,2020-02-13 01,NB_KOTAK
5,5,urbanclap,NB,PAYTM,,2020-02-13 02,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-13 00,NB_KOTAK
3,2,pharmeasytech,NB,PAYTM,,2020-02-13 09,NB_KOTAK
2,1,urbanclap,NB,PAYTM,,2020-02-13 00,NB_KOTAK
2,2,pharmeasytech,NB,PAYTM,,2020-02-13 11,NB_KOTAK
1,0,fanfight,NB,PAYTM,,2020-02-13 17,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-13 15,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-12 12,NB_KOTAK
1,1,urbanclap,NB,PAYTM,,2020-02-12 01,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 11,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-12 15,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 16,NB_KOTAK
2,2,countrydelight,NB,PAYU,,2020-02-13 09,NB_KOTAK
2,2,zivame,NB,PAYU,,2020-02-13 19,NB_KOTAK
2,0,fanfight,NB,PAYTM,,2020-02-13 03,NB_KOTAK
2,0,purplle.com,NB,PAYU,,2020-02-13 14,NB_KOTAK
3,1,medlife_prod,NB,RAZORPAY,,2020-02-14 04,NB_KOTAK
1,0,purplle.com,NB,PAYU,,2020-02-14 01,NB_KOTAK
2,0,purplle.com,NB,PAYU,,2020-02-14 05,NB_KOTAK
2,2,countrydelight,NB,PAYU,,2020-02-14 04,NB_KOTAK
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 16,NB_KOTAK
4,3,medlife_prod,NB,RAZORPAY,,2020-02-13 02,NB_KOTAK
1,1,purplle.com,NB,PAYU,,2020-02-13 20,NB_KOTAK
3,2,medlife_prod,NB,RAZORPAY,,2020-02-13 05,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-12 04,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-12 19,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-13 17,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-13 16,NB_KOTAK
1,1,purplle.com,NB,PAYU,,2020-02-13 05,NB_KOTAK
1,1,purplle.com,NB,PAYU,,2020-02-13 11,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 12,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-14 07,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 02,NB_KOTAK
1,1,medlife_prod,NB,RAZORPAY,,2020-02-12 13,NB_KOTAK
3,1,medlife_prod,NB,RAZORPAY,,2020-02-14 08,NB_KOTAK
18,11,urbanclap,NB,PAYTM,,2020-02-14 12,NB_KOTAK
2,1,countrydelight,NB,PAYU,,2020-02-14 01,NB_KOTAK
5,2,countrydelight,NB,PAYU,,2020-02-14 07,NB_KOTAK
16,7,urbanclap,NB,PAYTM,,2020-02-14 07,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-14 00,NB_KOTAK
7,2,urbanclap,NB,PAYTM,,2020-02-14 19,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-14 16,NB_KOTAK
6,3,fanfight,NB,PAYTM,,2020-02-14 13,NB_KOTAK
10,4,urbanclap,NB,PAYTM,,2020-02-14 17,NB_KOTAK
8,6,urbanclap,NB,PAYTM,,2020-02-14 15,NB_KOTAK
7,2,urbanclap,NB,PAYTM,,2020-02-14 11,NB_KOTAK
9,6,medlife_prod,NB,RAZORPAY,,2020-02-14 03,NB_KOTAK
3,1,medlife_prod,NB,RAZORPAY,,2020-02-14 02,NB_KOTAK
2,2,pharmeasytech,NB,PAYU,,2020-02-14 06,NB_KOTAK
2,0,fanfight,NB,PAYTM,,2020-02-12 12,NB_KOTAK
4,1,fanfight,NB,PAYTM,,2020-02-12 09,NB_KOTAK
15,8,urbanclap,NB,PAYTM,,2020-02-12 08,NB_KOTAK
13,9,urbanclap,NB,PAYTM,,2020-02-12 06,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-12 12,NB_KOTAK
12,9,urbanclap,NB,PAYTM,,2020-02-12 12,NB_KOTAK
8,6,urbanclap,NB,PAYTM,,2020-02-12 03,NB_KOTAK
4,3,fanfight,NB,PAYTM,,2020-02-12 05,NB_KOTAK
4,3,medlife_prod,NB,RAZORPAY,,2020-02-12 02,NB_KOTAK
9,6,urbanclap,NB,PAYTM,,2020-02-12 17,NB_KOTAK
2,2,zivame,NB,PAYU,,2020-02-12 15,NB_KOTAK
6,5,medlife_prod,NB,RAZORPAY,,2020-02-14 05,NB_KOTAK
3,1,purplle.com,NB,PAYU,,2020-02-14 10,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-14 11,NB_KOTAK
2,1,fanfight,NB,PAYTM,,2020-02-14 06,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-14 11,NB_KOTAK
1,1,urbanclap,NB,PAYTM,,2020-02-14 01,NB_KOTAK
2,2,countrydelight,NB,PAYU,,2020-02-14 18,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-14 13,NB_KOTAK
2,2,pharmeasytech,NB,PAYTM,,2020-02-14 14,NB_KOTAK
3,2,pharmeasytech,NB,PAYU,,2020-02-14 07,NB_KOTAK
2,2,zivame,NB,PAYU,,2020-02-13 12,NB_KOTAK
15,9,urbanclap,NB,PAYTM,,2020-02-13 07,NB_KOTAK
10,7,urbanclap,NB,PAYTM,,2020-02-13 05,NB_KOTAK
15,9,urbanclap,NB,PAYTM,,2020-02-13 04,NB_KOTAK
11,7,urbanclap,NB,PAYTM,,2020-02-13 13,NB_KOTAK
2,2,medlife_prod,NB,RAZORPAY,,2020-02-13 16,NB_KOTAK
7,4,urbanclap,NB,PAYTM,,2020-02-14 02,NB_KOTAK
3,2,fanfight,NB,PAYTM,,2020-02-14 05,NB_KOTAK
4,2,fanfight,NB,PAYTM,,2020-02-14 11,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-14 14,NB_KOTAK
12,8,urbanclap,NB,PAYTM,,2020-02-12 05,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-12 03,NB_KOTAK
8,4,urbanclap,NB,PAYTM,,2020-02-12 02,NB_KOTAK
5,2,purplle.com,NB,PAYU,,2020-02-12 04,NB_KOTAK
2,2,countrydelight,NB,PAYU,,2020-02-12 06,NB_KOTAK
7,4,countrydelight,NB,PAYU,,2020-02-12 05,NB_KOTAK
2,2,pharmeasytech,NB,PAYTM,,2020-02-14 05,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-14 12,NB_KOTAK
4,3,pharmeasytech,NB,PAYU,,2020-02-13 08,NB_KOTAK
2,1,countrydelight,NB,PAYU,,2020-02-13 07,NB_KOTAK
10,6,urbanclap,NB,PAYTM,,2020-02-13 10,NB_KOTAK
5,2,countrydelight,NB,PAYU,,2020-02-13 17,NB_KOTAK
10,8,urbanclap,NB,PAYTM,,2020-02-13 08,NB_KOTAK
3,2,medlife_prod,NB,RAZORPAY,,2020-02-13 15,NB_KOTAK
1,0,medlife_prod,NB,RAZORPAY,,2020-02-12 00,NB_KOTAK
2,1,fanfight,NB,PAYTM,,2020-02-12 01,NB_KOTAK
4,2,fanfight,NB,PAYTM,,2020-02-12 02,NB_KOTAK
2,2,countrydelight,NB,PAYU,,2020-02-12 02,NB_KOTAK
4,4,pharmeasytech,NB,PAYU,,2020-02-12 07,NB_KOTAK
2,1,medlife_prod,NB,RAZORPAY,,2020-02-12 17,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-12 11,NB_KOTAK
2,0,zivame,NB,PAYU,,2020-02-12 07,NB_KOTAK
1,0,purplle.com,NB,PAYU,,2020-02-12 12,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-12 14,NB_KOTAK
1,0,fanfight,NB,PAYTM,,2020-02-13 06,NB_KOTAK
4,2,medlife_prod,NB,RAZORPAY,,2020-02-13 07,NB_KOTAK
4,1,urbanclap,NB,PAYTM,,2020-02-13 20,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-13 23,NB_KOTAK
1,0,pharmeasytech,NB,PAYU,,2020-02-12 16,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 15,NB_KOTAK
2,0,zivame,NB,PAYU,,2020-02-12 09,NB_KOTAK
2,1,medlife_prod,NB,RAZORPAY,,2020-02-12 12,NB_KOTAK
3,0,pharmeasytech,NB,PAYU,,2020-02-12 13,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-13 04,NB_KOTAK
4,3,pharmeasytech,NB,PAYTM,,2020-02-13 10,NB_KOTAK
6,6,countrydelight,NB,PAYU,,2020-02-13 06,NB_KOTAK
1,1,medlife_prod,NB,RAZORPAY,,2020-02-13 08,NB_KOTAK
4,3,countrydelight,NB,PAYU,,2020-02-13 04,NB_KOTAK
2,1,pharmeasytech,NB,PAYTM,,2020-02-13 13,NB_KOTAK
4,3,pharmeasytech,NB,PAYTM,,2020-02-13 03,NB_KOTAK
1,0,countrydelight,NB,PAYU,,2020-02-12 08,NB_KOTAK
2,2,medlife_prod,NB,RAZORPAY,,2020-02-14 09,NB_KOTAK
1,1,countrydelight,NB,PAYU,,2020-02-14 02,NB_KOTAK
1,1,zivame,NB,RAZORPAY,,2020-02-14 13,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-14 15,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-14 17,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 07,NB_KOTAK
2,2,urbanclap,NB,PAYTM,,2020-02-12 20,NB_KOTAK
1,0,medlife_prod,NB,RAZORPAY,,2020-02-13 18,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-13 01,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-13 00,NB_KOTAK
1,1,purplle.com,NB,PAYU,,2020-02-13 03,NB_KOTAK
1,1,fanfight,NB,PAYTM,,2020-02-13 01,NB_KOTAK
1,1,medlife_prod,NB,RAZORPAY,,2020-02-13 19,NB_KOTAK
1,1,fanfight,NB,PAYTM,,2020-02-13 09,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-13 03,NB_KOTAK
2,2,countrydelight,NB,PAYU,,2020-02-13 02,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-13 10,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-12 00,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-14 16,NB_KOTAK
1,1,pharmeasytech,NB,PAYU,,2020-02-14 18,NB_KOTAK
1,1,pharmeasytech,NB,PAYTM,,2020-02-12 17,NB_KOTAK
1,1,zivame,NB,PAYU,,2020-02-12 13,NB_KOTAK
7,7,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 05,OLAMONEY
5,3,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 04,OLAMONEY
13,9,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 09,OLAMONEY
11,5,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 18,OLAMONEY
12,5,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 13,OLAMONEY
10,6,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 13,OLAMONEY
5,2,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 21,OLAMONEY
8,6,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 14,OLAMONEY
15,11,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 10,OLAMONEY
11,10,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 04,OLAMONEY
9,6,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 08,OLAMONEY
7,5,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 12,OLAMONEY
16,13,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 13,OLAMONEY
12,5,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 14,OLAMONEY
7,3,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 20,OLAMONEY
4,4,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 20,OLAMONEY
8,3,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 16,OLAMONEY
11,4,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 07,OLAMONEY
13,7,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 09,OLAMONEY
12,8,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 07,OLAMONEY
5,4,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 06,OLAMONEY
9,7,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 15,OLAMONEY
22,2,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 16,OLAMONEY
21,12,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 15,OLAMONEY
14,9,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 06,OLAMONEY
10,8,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 02,OLAMONEY
13,10,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 06,OLAMONEY
10,5,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 18,OLAMONEY
7,5,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 14,OLAMONEY
10,2,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 03,OLAMONEY
18,12,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 04,OLAMONEY
3,1,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 20,OLAMONEY
1,1,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 00,OLAMONEY
6,2,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 03,OLAMONEY
3,3,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 04,OLAMONEY
2,2,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 00,OLAMONEY
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 01,OLAMONEY
15,12,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 12,OLAMONEY
11,8,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 11,OLAMONEY
18,8,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 12,OLAMONEY
21,9,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 11,OLAMONEY
15,10,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 09,OLAMONEY
19,11,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 06,OLAMONEY
9,5,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 06,OLAMONEY
16,10,pharmeasytech,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 10,OLAMONEY
9,3,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 07,OLAMONEY
9,2,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 11,OLAMONEY
3,1,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 08,OLAMONEY
